error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation,error collocation,correction collocation
get,VERB,have,get itching,have itching,1,941,itching,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get pollinosis,have pollinosis,1,941,pollinosis,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get errand,have errand,1,941,errand,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get icecream,have icecream,1,941,icecream,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get untidy,have untidy,1,941,untidy,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get roomate,have roomate,1,941,roomate,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get lifestyle,have lifestyle,1,941,lifestyle,misc-ap-0,94,61,3029,0,27,0,27
get,VERB,have,get someone---,have someone---,1,941,someone---,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get face,have face,1,941,face,misc-ap-0,94,61,3029,11,106,11,106
get,VERB,have,get reunion,have reunion,1,941,reunion,misc-ap-0,94,61,3029,0,27,0,27
get,VERB,have,get bento,have bento,1,941,bento,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get sadness,have sadness,1,941,sadness,misc-ap-0,94,61,3029,0,6,0,6
get,VERB,have,get screening,have screening,1,941,screening,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get diarrhea,have diarrhea,1,941,diarrhea,misc-ap-0,94,61,3029,0,5,0,5
get,VERB,have,get smartphone,have smartphone,1,941,smartphone,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get absence,have absence,1,941,absence,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get leadership,have leadership,1,941,leadership,misc-ap-0,94,61,3029,13,55,13,55
get,VERB,have,get rollcake,have rollcake,1,941,rollcake,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get scent,have scent,1,941,scent,misc-ap-0,94,61,3029,0,16,0,16
get,VERB,have,get lesson,have lesson,2,941,lesson,misc-ap-0,94,61,3029,27,37,27,37
make,VERB,have,make synergy,have synergy,4,536,synergy,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make disorganization,have disorganization,1,536,disorganization,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make bf,have bf,2,536,bf,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make misunderstanding,have misunderstanding,1,536,misunderstanding,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make café,have café,1,536,café,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make face,have face,1,536,face,misc-ap-0,76,42,4016,0,106,0,106
make,VERB,have,make saury,have saury,1,536,saury,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make ending,have ending,6,536,ending,misc-ap-0,76,42,4016,4,58,4,58
make,VERB,have,make stillness,have stillness,1,536,stillness,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make writing,have writing,1,536,writing,misc-ap-0,76,42,4016,0,12,0,12
make,VERB,have,make holiday,have holiday,3,536,holiday,misc-ap-0,76,42,4016,0,22,0,22
make,VERB,have,make t,have t,3,536,t,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make student,have student,1,536,student,misc-ap-0,76,42,4016,40,246,40,246
make,VERB,have,make taste,have taste,1,536,taste,misc-ap-0,76,42,4016,6,183,6,183
make,VERB,have,make gf,have gf,1,536,gf,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make internet,have internet,1,536,internet,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make hemorrhoid,have hemorrhoid,1,536,hemorrhoid,misc-ap-0,76,42,4016,0,2,0,2
make,VERB,have,make coordination,have coordination,1,536,coordination,misc-ap-0,76,42,4016,2,4,2,4
make,VERB,have,make impact,have impact,17,536,impact,misc-ap-0,76,42,4016,138,3046,138,3046
make,VERB,have,make emotion,have emotion,1,536,emotion,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make lesson,have lesson,2,536,lesson,misc-ap-0,76,42,4016,0,37,0,37
make,VERB,have,make was---,have was---,1,536,was---,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make havinglesson,have havinglesson,1,536,havinglesson,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make dialog,have dialog,2,536,dialog,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make disadvantage,have disadvantage,1,536,disadvantage,misc-ap-0,76,42,4016,0,41,0,41
make,VERB,have,make homework,have homework,1,536,homework,misc-ap-0,76,42,4016,0,8,0,8
make,VERB,have,make podcast,have podcast,1,536,podcast,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make briefing,have briefing,1,536,briefing,misc-ap-0,76,42,4016,0,9,0,9
make,VERB,have,make cafe,have cafe,1,536,cafe,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make showroom,have showroom,1,536,showroom,misc-ap-0,76,42,4016,0,7,0,7
make,VERB,have,make interaction,have interaction,1,536,interaction,misc-ap-0,76,42,4016,0,10,0,10
make,VERB,have,make collaboration,have collaboration,1,536,collaboration,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make mariner,have mariner,1,536,mariner,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make selectivity,have selectivity,1,536,selectivity,misc-ap-0,76,42,4016,0,0,0,0
make,VERB,have,make partnership,have partnership,1,536,partnership,misc-ap-0,76,42,4016,1,36,1,36
make,VERB,have,make -,have -,1,536,-,misc-ap-0,76,42,4016,0,0,0,0
take,VERB,get,take passersby,get passersby,1,497,passersby,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take lazyness,get lazyness,1,497,lazyness,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take athlete,get athlete,1,497,athlete,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take prescription,get prescription,2,497,prescription,misc-ap-0,79,37,2016,0,12,0,12
take,VERB,get,take checkup,get checkup,1,497,checkup,misc-ap-0,79,37,2016,0,12,0,12
take,VERB,get,take smoking,get smoking,1,497,smoking,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take vaccine,get vaccine,1,497,vaccine,misc-ap-0,79,37,2016,0,11,0,11
take,VERB,get,take caffeine,get caffeine,1,497,caffeine,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take scholarship,get scholarship,2,497,scholarship,misc-ap-0,79,37,2016,0,26,0,26
take,VERB,get,take vaccination,get vaccination,3,497,vaccination,misc-ap-0,79,37,2016,0,5,0,5
take,VERB,get,take enzyme,get enzyme,16,497,enzyme,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take inoculation,get inoculation,1,497,inoculation,misc-ap-0,79,37,2016,0,0,0,0
take,VERB,get,take nourishment,get nourishment,2,497,nourishment,misc-ap-0,79,37,2016,1,1,1,1
take,VERB,get,take %,get %,1,497,%,misc-ap-0,79,37,2016,0,0,0,0
